ACTEU;AGE;DDIPL;IDENT;NOI;SALMEE;SEXE;TPP
3;84;7;G121T5DA;01;;1;
3;84;7;G121T5DA;02;;2;
1;45;5;G121T85A;01;1400;1;1
3;80;7;G121TAXA;01;;2;
3;83;6;G121Y0DA;01;;2;
2;30;4;G121Y0FA;01;;2;
1;32;5;G121Y0FA;02;1457;1;1
2;45;1;G121Y0HA;01;;1;
2;40;1;G121Y0HA;02;;2;
3;27;1;G121Y0HA;03;;1;
1;31;5;G121Y0IA;01;1530;2;1
2;50;5;G121Y36A;01;;1;
2;45;4;G121Y36A;02;;2;
2;24;6;G121Y36A;03;;1;
3;56;7;G121Y37A;01;;2;
3;57;5;G121Y38A;01;;2;
3;41;6;G121Y39A;01;;1;
3;21;4;G1313EXB;01;;1;
3;23;4;G1313EXB;02;;1;
1;20;4;G1313F0B;01;420;2;2
1;34;3;G1313F2B;01;;1;2
3;30;1;G1313KHB;01;;2;
1;24;1;G1313KHB;02;580;2;2
1;26;1;G1313KIB;01;2400;2;1
2;26;1;G1313N9B;01;;2;
2;35;4;G1313N9B;02;;1;
1;29;3;G1313NAB;01;1700;2;1
3;22;4;G1313NBB;01;;1;
1;37;5;G1313Q1B;01;;1;1
1;22;4;G1313Q2B;01;380;1;2
3;21;4;G1313Q2B;02;;2;
3;20;4;G1313Q4B;01;;2;
1;31;1;G1313SUB;01;1427;2;1
1;31;1;G1313SVB;01;3000;1;1
1;31;1;G1313SVB;02;2000;2;1
1;26;3;G1313SWB;01;1400;2;1
1;27;1;G1313SWB;02;1600;1;1
1;42;5;G1313SXB;01;1800;1;1
1;21;4;G1313VLB;01;196;2;2
2;26;3;G1313VLB;02;;1;
2;27;4;G1313VLB;03;;2;
3;30;3;G1313VLB;05;;2;
3;26;3;G1313VLB;06;;1;
1;27;3;G1313YDB;01;1800;1;1
1;27;1;G1313YDB;02;1586;2;2
2;41;4;G1313YFB;01;;2;
1;51;3;G1418THB;01;1142;2;1
1;51;4;G1418THB;02;1600;1;2
3;73;5;G1418W9B;01;;1;
3;68;5;G1418W9B;02;;2;
3;92;7;G1418Z1B;01;;2;
3;74;7;G15184LB;01;;2;
3;87;7;G15187DB;01;;2;
1;55;7;G1518A5B;01;2100;1;1
1;53;6;G1518A5B;02;1400;2;1
3;18;4;G1518A5B;03;;1;
3;88;7;G1518FPB;01;;1;
3;81;7;G1518FPB;02;;2;
3;61;3;G1518FQB;01;;1;
3;65;7;G1518IHB;01;;1;
3;62;7;G1518L9B;01;;2;
2;37;3;G1518O1B;01;;1;
1;35;3;G1518O1B;02;1700;2;1
1;45;3;G1518QTB;01;1950;1;1
1;41;7;G1518QTB;02;1300;2;1
3;20;7;G1518QTB;04;;1;
3;17;6;G1518QTB;05;;2;
3;86;7;G1518TLB;01;;1;
3;86;7;G1518TLB;02;;2;
1;64;6;G1518WDB;01;3700;1;1
3;65;7;G1518WDB;02;;2;
3;67;7;G1518Z5B;01;;1;
1;46;5;G16187HB;01;1500;1;1
1;46;6;G16187HB;02;1200;2;1
1;44;7;G1618A9B;01;1200;2;1
1;44;5;G1618A9B;02;2750;1;1
3;20;5;G1618A9B;03;;1;
3;77;5;G1618D1B;01;;1;
3;76;7;G1618D1B;02;;2;
3;71;6;G171IS5B;01;;2;
3;72;7;G171IS5B;02;;1;
3;75;7;G171IUXB;01;;2;
1;42;5;G171IXPB;01;1500;2;1
1;44;7;G171IXPB;02;1800;1;1
3;15;7;G171IXPB;03;;1;
1;40;7;G181I0HB;01;1500;1;1
1;41;1;G181I0HB;02;2000;2;1
1;43;7;G181I39B;01;1400;1;1
1;42;5;G181I39B;02;1200;2;2
1;20;4;G181I39B;03;1400;1;1
3;17;6;G181I39B;04;;2;
3;41;7;G181I61B;01;;1;
2;54;7;G181I61B;02;;2;
1;40;3;G181I8TB;01;;1;1
3;39;7;G181I8TB;02;;2;
3;74;7;G181IBLB;01;;2;
3;72;7;G181IH5B;01;;2;
1;36;3;G181IJXB;01;2200;2;1
1;37;4;G181IJXB;02;2500;1;1
1;53;6;G181IMPB;01;2300;1;1
1;38;6;G181IMPB;02;1100;2;1
1;42;5;G181IPHB;01;1600;1;1
3;70;5;G181IS9B;01;;2;
3;64;6;G181IV1B;01;;1;
1;59;5;G181IV1B;02;2600;2;1
1;38;3;G181IXTB;01;3245;2;1
1;48;7;G181IXTB;02;1500;1;1
1;24;1;G191I0LB;01;916;2;2
1;30;3;G191I0LB;02;1211;1;1
1;40;5;G191I3DB;01;1116;2;1
1;52;4;G191I65B;01;1700;2;1
1;16;6;G191I65B;02;535;2;1
1;25;5;G191I8XB;01;1000;2;1
1;26;4;G191I8XB;02;1600;1;1
1;33;3;G191IBPB;01;;2;1
1;42;5;G191IEHB;01;1200;2;1
1;53;5;G191IH9B;01;2000;1;1
1;54;5;G191IH9B;02;1810;2;1
1;44;4;G191IK1B;01;2300;1;1
1;46;5;G191IK1B;02;1400;2;2
3;15;6;G191IK1B;03;;1;
1;41;3;G191IMTB;01;2300;2;2
1;44;4;G191IMTB;02;1000;1;1
3;16;6;G191IMTB;03;;2;
1;49;6;G191IPLB;01;1450;1;1
2;21;4;G191IPLB;02;;1;
1;26;5;G191ISDB;01;1240;1;1
3;68;7;G191ISDB;02;;1;
1;43;1;G191IV5B;01;1750;1;1
1;44;3;G191IV5B;02;1950;2;1
3;16;6;G191IV5B;03;;1;
3;61;5;G191IXXB;01;;1;
1;31;3;G191N9HB;01;2200;1;1
1;31;5;G191N9HB;02;1650;2;1
1;31;3;G191NC9B;01;1640;2;1
1;32;4;G191NC9B;02;1750;1;1
1;27;4;G191NF1B;01;630;2;1
1;32;4;G191NF1B;02;1500;1;1
1;35;5;G191NKLB;01;1300;1;1
1;35;3;G191NKLB;02;1400;2;1
1;38;4;G191NNDB;01;2400;1;1
1;33;5;G191NNDB;02;1700;2;1
1;44;7;G191NQ5B;01;1500;1;1
1;43;4;G191NQ5B;02;750;2;2
3;21;4;G191NQ5B;03;;2;
1;19;4;G191NQ5B;04;1300;1;1
3;15;6;G191NQ5B;05;;2;
3;41;5;G191NSXB;01;;1;
1;56;5;G191NVPB;01;706;2;2
1;33;1;G191NYHB;01;1923;2;1
1;32;3;G191NYHB;02;1660;1;1
1;45;6;G1A1I0PB;01;1100;2;2
1;36;7;G1A1I0PB;02;;1;1
3;16;6;G1A1I0PB;03;;1;
1;42;5;G1A1I3HB;01;1400;1;1
1;46;5;G1A1I3HB;02;;2;3
2;37;5;G1A1I69B;01;;2;
1;36;5;G1A1I69B;02;1550;1;1
1;35;3;G1A1I91B;01;1663;1;1
1;25;5;G1A1I91B;02;600;2;2
