ACTEU;AGE;DDIPL;IDENT;NOI;SALMEE;SEXE;TPP
3;21;4;GAH1DFDC;03;;2;
3;18;4;GAH1DFDC;04;;1;
3;55;4;GAH1DNPC;01;;2;
3;30;1;GAH1DNPC;02;;1;
3;84;6;GAH1DQHC;01;;2;
3;76;1;GAH1DT9C;01;;1;
3;74;1;GAH1DT9C;02;;2;
2;63;7;GAH1DW1C;01;;2;
3;70;1;GAI1D1LC;01;;1;
3;84;7;GAI1D4DC;01;;1;
3;83;7;GAI1D4DC;02;;2;
3;73;1;GAI1DFHC;01;;1;
3;68;5;GAI1DFHC;02;;2;
3;67;4;GAJ1D1PC;01;;2;
3;68;5;GAJ1D1PC;02;;1;
3;87;1;GAJ1D79C;01;;1;
3;79;1;GAJ1DA1C;01;;1;
3;71;7;GAJ1DA1C;02;;2;
1;59;3;GAJ1DCTC;01;;1;1
1;55;4;GAJ1DCTC;02;;2;1
3;28;1;GAJ1DCTC;03;;2;
2;22;6;GAJ1DCTC;04;;1;
1;34;3;GAQ1IH1X;01;;1;1
1;31;5;GAQ1IH1X;02;1800;2;1
2;47;4;GAQ1IJTX;01;;1;
3;34;7;GAQ1IJTX;02;;2;
3;24;1;GAQ1IJVX;01;;2;
2;24;1;GAQ1IJVX;02;;1;
1;36;1;GAQ1IJWX;01;1500;2;1
1;34;1;GAQ1IJYX;01;;1;2
1;33;1;GAQ1IJYX;02;1466;2;1
1;30;6;GAQ1IMMX;01;;2;2
1;24;1;GAQ1IUYX;01;;2;2
2;30;1;GAQ1IV0X;01;;2;
1;45;6;GAR1NYDX;01;3300;1;1
1;51;4;GAS1N15X;01;1771;1;1
1;57;7;GAS1N15X;02;910;2;2
3;20;6;GAS1N15X;03;;1;
3;17;6;GAS1N15X;04;;2;
1;55;6;GAS1N6PX;01;;1;1
1;55;4;GAS1N6PX;02;;2;3
3;63;5;GAS1N9HX;01;;1;
3;62;5;GAS1N9HX;02;;2;
3;84;7;GAS1NHTX;01;;1;
3;79;7;GAS1NHTX;02;;2;
1;39;4;GAS1NKLX;01;2740;1;1
1;44;1;GAS1NQ5X;01;;2;2
1;44;1;GAS1NQ5X;02;5150;1;1
3;15;6;GAS1NQ5X;03;;2;
1;31;7;GAS1NSXX;01;1140;2;1
1;36;5;GAS1NSXX;02;1968;1;1
3;15;7;GAS1NSXX;03;;1;
3;64;1;GAS1NVPX;01;;1;
3;65;7;GAS1NVPX;02;;2;
3;64;1;GAS1NYHX;01;;1;
3;61;4;GAS1NYHX;02;;2;
3;78;7;GAT1N6TX;01;;2;
1;51;5;GAT1N6TX;02;3918;1;1
1;41;5;GAT1N9LX;01;;1;1
1;43;6;GAT1N9LX;02;2200;2;1
1;18;5;GAT1N9LX;03;1200;1;1
3;16;6;GAT1N9LX;04;;1;
3;89;7;GAT1NCDX;01;;2;
1;38;1;GAT1NF5X;01;2000;2;1
1;38;4;GAT1NF5X;02;3500;1;1
1;43;7;GAT1NHXX;01;2100;2;1
3;18;6;GAT1NHXX;02;;1;
3;15;6;GAT1NHXX;03;;2;
3;62;6;GAT1NNHX;01;;2;
1;17;6;GAT1NNHX;02;750;1;1
3;70;6;GAT1NT1X;01;;1;
3;63;1;GAT1NT1X;02;;2;
3;84;7;GAT1NT1X;03;;2;
3;65;4;GAT1NVTX;01;;1;
3;69;7;GAT1NVTX;02;;2;
3;64;1;GAT1NYLX;01;;1;
3;63;5;GAT1NYLX;02;;2;
3;92;1;GAT1SFQX;01;;1;
3;64;5;GAT1SFRX;01;;1;
3;61;5;GAT1SFRX;02;;2;
1;63;1;GAT1SFSX;01;1150;1;2
1;51;1;GAT1SFSX;02;2500;2;1
1;35;7;GAT1SFTX;01;;1;1
1;31;5;GAT1SFTX;02;1350;2;1
1;54;4;GAT1SFUX;01;2250;2;1
3;57;7;GAT1SFWX;01;;2;
1;57;5;GAT1SFWX;02;2200;1;1
1;26;4;GAT1SFXX;01;1900;1;1
1;30;4;GAT1SFXX;02;;2;2
3;83;7;GAT1SFZX;01;;1;
1;48;1;GAT1SG0X;01;4700;1;1
2;31;1;GAT1SG2X;01;;2;
1;39;7;GAT1SG2X;02;1070;1;1
1;48;3;GAT1SG3X;01;1634;2;1
3;15;6;GAT1SG3X;02;;2;
1;47;7;GAT1SG4X;01;1000;2;1
3;91;7;GAT1SG5X;01;;1;
3;62;5;GAT1SG6X;01;;1;
1;57;5;GAT1SG6X;02;2100;2;1
1;52;1;GAT1SG8X;01;3200;1;1
3;57;1;GAT1SG8X;02;;2;
1;48;3;GAU1N45X;01;1990;1;1
1;46;4;GAU1N45X;02;3000;2;1
3;18;6;GAU1N45X;03;;1;
3;72;5;GAU1N6XX;01;;1;
3;69;6;GAU1N6XX;02;;2;
1;31;7;GAU1XX1X;01;1200;1;1
3;23;7;GAU1XX1X;02;;2;
1;39;3;GAU1XX2X;01;;1;1
3;71;7;GAU1XX2X;02;;2;
3;68;5;GAU1XX3X;01;;1;
3;58;7;GAU1XX3X;02;;2;
3;78;7;GAU1XX4X;01;;2;
1;48;5;GAU1XX5X;01;1600;2;1
1;61;7;GAU1XX7X;01;2200;2;1
1;40;4;GAU1XX7X;02;2000;1;1
2;27;6;GAU1XX8X;01;;2;
1;40;6;GAU1XX8X;02;1467;1;1
2;45;7;GAU1XXAX;01;;2;
1;46;4;GAU1XXAX;02;1400;1;1
2;20;7;GAU1XXAX;03;;1;
1;23;7;GAU1XXAX;04;1320;1;1
2;59;5;GAU1XXBX;01;;1;
2;48;7;GAU1XXBX;02;;2;
3;22;6;GAU1XXBX;03;;2;
3;17;7;GAU1XXBX;04;;2;
1;47;7;GAU1XXCX;01;967;1;1
3;40;7;GAU1XXCX;02;;2;
3;41;7;GAU1XXDX;01;;2;
3;17;6;GAU1XXDX;02;;2;
1;28;5;GAU1XXEX;01;1400;2;2
1;37;7;GAU1XXEX;02;1800;1;1
3;23;3;GAU1XXFX;01;;1;
1;23;5;GAU1XXFX;02;;1;1
2;50;3;GAU1XXFX;03;;2;
1;49;4;GAU1XXHX;01;;1;1
1;42;1;GAU1XXHX;02;;2;1
1;49;7;GAU1XXIX;01;;1;1
3;50;7;GAU1XXIX;02;;2;
3;17;6;GAU1XXIX;03;;1;
3;16;6;GAU1XXIX;04;;2;
1;42;3;GAU1XXJX;01;1393;1;1
3;40;1;GAU1XXJX;02;;2;
1;48;3;GAW12H5Y;01;990;2;1
1;47;6;GAW12H5Y;02;3900;1;1
3;52;5;GAW12JXY;01;;1;
1;48;4;GAW12JXY;02;2100;2;1
3;83;7;GAW12JXY;03;;2;
1;46;5;GAW12MPY;01;2600;1;1
1;45;5;GAW12MPY;02;1320;2;1
3;21;4;GAW12MPY;03;;1;
3;17;6;GAW12MPY;04;;1;
3;58;5;GAW12PHY;01;;1;
3;31;7;GAW12PHY;02;;1;
3;79;6;GAW12S9Y;01;;1;
3;58;5;GAW12S9Y;02;;2;
3;79;7;GAW12S9Y;03;;2;
1;31;5;GAW12S9Y;04;;1;3
1;28;6;GAW12S9Y;05;;2;1
3;65;5;GAW12V1Y;01;;1;
3;56;6;GAW12V1Y;02;;2;
1;22;4;GAW12V1Y;03;1119;1;1
1;35;3;GAW12XTY;01;1800;2;1
1;37;5;GAW12XTY;02;2100;1;1
1;35;6;GAX120LY;01;1900;2;1
1;36;3;GAX120LY;02;3200;1;1
3;61;7;GAX123DY;01;;2;
3;65;7;GAX123DY;02;;1;
1;50;7;GAX128XY;01;1300;2;1
1;51;7;GAX128XY;02;2500;1;1
3;88;7;GAX12EHY;01;;2;
1;51;4;GAX12H9Y;01;2700;2;1
2;54;7;GAX12H9Y;02;;1;
3;21;4;GAX12H9Y;03;;2;
3;18;6;GAX12H9Y;04;;2;
3;77;7;GAX12K1Y;01;;1;
3;31;5;GAX17VRY;01;;2;
3;48;7;GAX17VSY;01;;1;
3;59;7;GAX17VSY;02;;2;
3;18;6;GAX17VSY;03;;1;
3;16;6;GAX17VSY;04;;1;
3;36;5;GAX17VUY;01;;2;
2;39;6;GAX17VUY;02;;1;
2;57;7;GAX17VVY;01;;1;
1;41;7;GAX17VVY;02;;2;2
3;47;7;GAX17VWY;01;;2;
1;45;7;GAX17VXY;01;1500;2;1
1;54;4;GAX17VXY;02;;1;1
1;25;5;GAX17VXY;03;1300;1;1
3;20;6;GAX17VXY;04;;1;
3;19;6;GAX17VXY;05;;2;
1;34;4;GAX17VYY;01;;2;1
1;33;1;GAX17VYY;02;;1;1
3;18;6;GAX17VYY;03;;2;
1;57;5;GAX17VZY;01;1200;1;2
1;55;7;GAX17VZY;02;1160;2;2
1;31;5;GAX17VZY;03;1013;1;1
3;29;7;GAX17VZY;04;;2;
2;20;5;GAX17VZY;05;;1;
3;17;7;GAX17VZY;06;;1;
1;37;7;GAX17W0Y;01;;1;1
1;40;6;GAX17W2Y;01;;2;2
1;47;1;GAX17W2Y;02;;1;1
3;16;6;GAX17W2Y;03;;2;
1;50;5;GAX17W3Y;01;1280;2;1
3;23;4;GAX17W3Y;02;;1;
1;19;7;GAX17W3Y;03;;1;2
3;15;7;GAX17W3Y;04;;1;
2;42;5;GAX17W4Y;01;;2;
1;44;7;GAX17W4Y;02;;1;2
3;16;6;GAX17W4Y;03;;2;
3;62;7;GAX17W5Y;01;;2;
1;34;4;GAX17W6Y;01;;2;1
3;63;5;GAX17W8Y;01;;2;
1;33;4;GAZ1CFTY;01;;2;1
1;40;3;GAZ1CFTY;02;;1;1
1;56;7;GAZ1CILY;01;;1;1
1;51;7;GAZ1CILY;02;;2;1
1;18;6;GAZ1CILY;03;;1;1
1;27;3;GAZ1CIMY;01;;2;1
3;27;5;GAZ1CLDY;01;;2;
1;28;5;GAZ1CLDY;02;;1;1
3;65;5;GAZ1CO5Y;01;;1;
3;60;7;GAZ1CO5Y;02;;2;
3;59;7;GAZ1CQXY;01;;1;
1;57;7;GAZ1CQXY;02;;2;2
2;36;5;GAZ1CTPY;01;;2;
1;35;4;GAZ1CTPY;02;;1;1
3;81;7;GAZ1CZ9Y;01;;1;
3;76;7;GAZ1CZ9Y;02;;2;
3;79;7;GB01C4TY;01;;2;
3;74;7;GB01C7LY;01;;2;
3;78;7;GB01CADY;01;;2;
3;83;7;GB01CADY;02;;1;
3;62;7;GB01CD5Y;01;;1;
3;57;5;GB01CD5Y;02;;2;
3;82;7;GB01CFXY;01;;2;
3;46;7;GB01CFXY;02;;2;
1;39;7;GB01CTTY;01;;2;2
1;42;7;GB01CTTY;02;;1;1
3;16;6;GB01CTTY;03;;2;
3;87;7;GB01CWLY;01;;2;
3;64;5;GB01HUDY;01;;1;
3;61;5;GB01HUDY;02;;2;
1;43;1;GB01HX5Y;01;;1;2
1;41;3;GB01HX5Y;02;6000;2;1
1;24;4;GB11C4XY;01;;2;1
1;31;3;GB11H5HY;01;1800;1;1
1;33;5;GB11H5HY;02;1500;2;1
1;53;5;GB11H89Y;01;1600;1;1
1;57;7;GB11H89Y;02;536;2;2
1;35;4;GB11HB1Y;01;1600;1;1
1;38;1;GB11HB1Y;02;1483;2;2
3;71;6;GB11HGLY;01;;1;
1;59;5;GB11HGLY;02;1430;2;2
1;46;3;GB11HJDY;01;;1;1
1;41;3;GB11HJDY;02;;2;1
3;16;6;GB11HJDY;03;;2;
1;40;5;GB11HOXY;01;1700;1;1
1;35;5;GB11HOXY;02;1550;2;1
3;67;6;GB11HRPY;01;;2;
3;91;4;GB11HRPY;02;;1;
3;45;4;GB11HUHY;01;;1;
1;52;3;GB11HX9Y;01;3960;1;1
1;46;5;GB11HX9Y;02;760;2;2
3;17;6;GB11HX9Y;03;;2;
1;37;3;GB21H2TY;01;1400;2;1
1;37;4;GB21H2TY;02;1140;1;1
1;51;5;GB21H5LY;01;1188;2;2
1;53;7;GB21H5LY;02;2442;1;1
1;20;5;GB21H5LY;03;;1;1
1;35;1;GB21H8DY;01;2542;1;1
1;34;1;GB21H8DY;02;881;2;2
1;34;4;GB21MBPY;01;1500;1;1
1;33;1;GB21MBPY;02;1650;2;1
1;24;5;GB21MBQY;01;1700;1;1
3;25;7;GB21MBQY;02;;2;
3;83;5;GB21MEHY;01;;1;
3;76;7;GB21MEHY;02;;2;
3;90;7;GB21MH9Y;01;;2;
3;67;7;GB21MK1Y;01;;1;
3;64;7;GB21MK1Y;02;;2;
3;90;7;GB21MMTY;01;;2;
3;82;7;GB21MPLY;01;;2;
3;66;5;GB21MSDY;01;;1;
3;66;5;GB21MSDY;02;;2;
3;75;7;GB21MV5Y;01;;2;
3;86;7;GB21MXXY;01;;2;
3;75;7;GB31M0PY;01;;2;
3;87;7;GB31M3HY;01;;2;
3;91;7;GB31M69Y;01;;1;
3;83;7;GB31M91Y;01;;2;
3;90;7;GB31MBTY;01;;1;
3;90;7;GB31MBTY;02;;2;
3;67;7;GB31MELY;01;;2;
3;63;7;GB31MHDY;01;;2;
3;71;7;GB31MK5Y;01;;2;
3;79;7;GB31MK5Y;02;;1;
3;74;5;GB31MMXY;01;;1;
3;87;7;GB31MPPY;01;;2;
3;79;7;GB31MSHY;01;;2;
3;73;7;GB31RYLY;01;;2;
3;79;7;GB31RYMY;01;;1;
1;23;5;GB31RYNY;01;1240;2;1
1;19;7;GB31RYOY;01;782;1;2
3;24;7;GB31RYPY;01;;1;
3;57;5;GB41R1DY;01;;2;
1;57;5;GB41R1EY;01;;1;1
1;48;7;GB41R45Y;01;;2;1
1;41;5;GB41R45Y;02;;1;1
3;65;7;GB41R6XY;01;;2;
3;35;7;GB41R6YY;01;;1;
3;82;7;GB41RCHY;01;;2;
1;21;7;GB41RF9Y;01;1398;1;1
1;20;4;GB41RFAY;01;850;2;2
1;23;6;GB41RI1Y;01;1450;2;1
1;25;5;GB41RI1Y;02;1100;1;1
1;17;5;GB41RI2Y;01;625;1;1
1;41;5;GB41RNLY;01;;2;1
1;46;5;GB41RNLY;02;;1;1
1;50;5;GB41RQDY;01;;1;1
1;18;5;GB41RT5Y;01;890;2;1
1;25;5;GB41RT5Y;02;1465;1;1
3;83;7;GB41RT6Y;01;;2;
3;74;7;GB41RVXY;01;;2;
3;69;5;GB51WADY;01;;1;
1;43;3;GB51WD5Y;01;;2;1
1;43;5;GB51WD5Y;02;;1;1
3;18;4;GB51WD5Y;03;;2;
1;57;4;GB51WIPY;01;1400;2;1
1;48;5;GB51WIPY;02;1700;1;1
1;36;5;GB51WLHY;01;1274;2;1
1;38;7;GB51WLHY;02;;1;1
1;56;7;GB51WO9Y;01;1285;1;1
3;55;5;GB51WO9Y;02;;2;
1;54;3;GB51WR1Y;01;2699;1;1
3;59;1;GB51WR1Y;02;;2;
3;17;4;GB51WR1Y;03;;2;
3;18;6;GB51WR1Y;04;;1;
3;80;7;GB51WTTY;01;;1;
3;80;5;GB51WTTY;02;;2;
1;33;6;GB51WZDY;01;;1;1
1;36;5;GB51WZDY;02;;1;1
3;54;7;GB611RPZ;01;;2;
1;57;4;GB611RPZ;02;1940;1;1
1;48;1;GB611UHZ;01;2236;2;1
3;48;7;GB611X9Z;01;;2;
2;21;5;GB611XAZ;01;;1;
3;18;7;GB611XAZ;02;;2;
1;54;7;GB611XBZ;01;2231;1;1
1;29;5;GB61W4XY;01;;1;1
1;25;5;GB61W4XY;02;;2;1
1;36;3;GB61W7PY;01;1850;1;1
1;31;3;GB61W7PY;02;;2;2
1;53;5;GB61WAHY;01;2700;1;1
3;51;7;GB61WAHY;02;;2;
3;30;4;GB61WD9Y;01;;2;
1;54;7;GB61WLLY;01;;1;1
1;51;6;GB61WLLY;02;4400;2;1
1;29;4;GB61WLLY;03;;1;1
1;20;5;GB61WLLY;04;;1;1
1;32;3;GB61WODY;01;1431;2;1
1;38;5;GB61WODY;02;1435;1;1
3;73;5;GB61WR5Y;01;;1;
3;69;7;GB61WR5Y;02;;2;
2;27;5;GB61WTXY;01;;1;
3;28;7;GB61WTXY;02;;2;
3;62;5;GB61WWPY;01;;1;
3;62;7;GB61WWPY;02;;2;
1;47;1;GB71101Z;01;2300;1;1
1;46;1;GB71101Z;02;2945;2;1
3;21;4;GB71101Z;03;;1;
3;18;4;GB71101Z;04;;2;
3;87;7;GB711B5Z;01;;1;
3;87;7;GB711B5Z;02;;2;
3;66;4;GB711DXZ;01;;1;
3;61;5;GB711DXZ;02;;1;
1;35;1;GB711GPZ;01;809;2;2
1;38;3;GB711GPZ;02;1850;1;1
1;32;3;GB711JHZ;01;1600;1;1
2;31;5;GB711JHZ;02;;2;
1;52;1;GB711M9Z;01;3800;2;1
1;52;1;GB711M9Z;02;;1;2
3;64;5;GB711ULZ;01;;2;
1;47;1;GB711XDZ;01;6708;1;1
1;45;1;GB711XDZ;02;1774;2;2
3;16;6;GB711XDZ;03;;2;
1;35;4;GB71W51Y;01;;1;1
1;31;1;GB71W51Y;02;;2;1
1;36;5;GB71W7TY;01;1314;1;1
1;36;5;GB71W7TY;02;1160;2;1
1;49;4;GB71WG5Y;01;;2;1
2;23;6;GB71WG5Y;02;;1;
3;54;5;GB71WIXY;01;;1;
2;53;5;GB71WIXY;02;;2;
3;46;4;GB71WLPY;01;;2;
1;48;7;GB71WLPY;02;;1;1
1;44;5;GB71WOHY;01;;1;1
1;44;1;GB71WOHY;02;2500;2;1
1;53;1;GB81105Z;01;;1;1
1;37;1;GB8112XZ;01;950;2;2
1;35;3;GB8118HZ;01;1834;1;1
1;30;4;GB8118HZ;02;1681;2;1
1;48;5;GB811B9Z;01;2000;1;1
1;39;5;GB811B9Z;02;1100;2;1
3;75;3;GB811E1Z;01;;1;
1;64;1;GB811GTZ;01;;1;2
1;60;3;GB811GTZ;02;300;2;2
1;26;3;GB811JLZ;01;1553;2;1
3;23;4;GB811JMZ;01;;1;
3;22;4;GB811JMZ;02;;2;
3;84;7;GB81691Z;01;;1;
3;83;7;GB81691Z;02;;2;
1;56;3;GB816BTZ;01;2500;1;1
3;57;5;GB816BTZ;02;;2;
3;66;5;GB816ELZ;01;;1;
3;63;5;GB816ELZ;02;;2;
1;39;5;GB816HDZ;01;;1;1
1;39;4;GB816HDZ;02;;2;1
3;15;7;GB816HDZ;03;;2;
3;76;7;GB816K5Z;01;;1;
3;71;5;GB816K5Z;02;;2;
3;65;1;GB816MXZ;01;;1;
3;68;1;GB816MXZ;02;;2;
1;42;5;GB816PPZ;01;;1;1
1;45;5;GB816PPZ;02;;2;2
3;64;6;GB816SHZ;01;;2;
1;39;4;GB816SHZ;02;1600;2;1
1;35;3;GB816V9Z;01;1600;1;1
1;31;4;GB816V9Z;02;1800;2;1
1;49;5;GB816Y1Z;01;;1;1
1;49;3;GB816Y1Z;02;2300;2;1
3;24;3;GB816Y1Z;03;;2;
1;22;4;GB816Y1Z;04;900;1;3
3;90;7;GB9160TZ;01;;1;
3;78;4;GB9160TZ;02;;2;
1;40;5;GB9163LZ;01;1980;1;1
1;40;4;GB9163LZ;02;1400;2;1
3;77;5;GB91695Z;01;;1;
3;71;5;GB91695Z;02;;2;
3;66;5;GB916BXZ;01;;1;
3;64;5;GB916BXZ;02;;2;
3;65;6;GB916EPZ;01;;2;
1;60;3;GB916HHZ;01;;1;1
1;61;4;GB916HHZ;02;1200;2;1
1;50;3;GB916K9Z;01;;2;1
1;52;1;GB916K9Z;02;;1;1
3;78;5;GB916N1Z;01;;2;
3;65;7;GB91BQDZ;01;;1;
3;30;7;GB91BQDZ;02;;2;
1;39;4;GB91BVXZ;01;2200;1;1
1;38;5;GB91BVXZ;02;1100;2;2
1;43;4;GB91BYPZ;01;;1;1
1;54;1;GB91BYPZ;02;1350;2;1
1;37;4;GBA1B1HZ;01;2000;1;1
1;39;5;GBA1B1HZ;02;1200;2;1
1;34;3;GBA1B49Z;01;3100;1;1
1;39;4;GBA1B49Z;02;1100;2;1
1;46;5;GBA1B71Z;01;2500;1;1
1;44;5;GBA1B71Z;02;1100;2;1
3;16;6;GBA1B71Z;03;;1;
1;30;4;GBA1B9TZ;01;1890;1;1
1;28;1;GBA1B9TZ;02;2100;2;1
1;45;5;GBA1BCLZ;01;3000;1;1
1;32;6;GBA1BCLZ;02;1400;2;1
3;17;6;GBA1BCLZ;03;;1;
3;70;7;GBA1BFDZ;01;;1;
3;59;5;GBA1BFDZ;02;;2;
3;60;5;GBA1BI5Z;01;;1;
3;59;7;GBA1BI5Z;02;;2;
3;51;7;GBA1BNPZ;01;;1;
2;49;5;GBA1BNPZ;02;;2;
1;38;4;GBA1BQHZ;01;2000;1;1
1;38;3;GBA1BQHZ;02;2500;2;1
1;27;6;GBA1BT9Z;01;1700;1;1
1;25;3;GBA1BT9Z;02;1600;2;1
1;50;5;GBA1BW1Z;01;2000;1;1
3;51;3;GBA1BW1Z;02;;2;
1;49;5;GBA1BYTZ;01;2700;1;1
2;48;5;GBA1BYTZ;02;;2;
1;23;4;GBA1BYTZ;03;580;2;2
1;45;5;GBB1B1LZ;01;2400;1;1
1;46;3;GBB1B1LZ;02;;2;1
3;21;4;GBB1B1LZ;03;;2;
3;18;6;GBB1B1LZ;04;;2;
1;29;1;GBB1G7PZ;01;;2;3
2;27;7;GBB1G7PZ;02;;1;
2;27;6;GBB1G7RZ;01;;1;
3;22;4;GBB1G7SZ;01;;2;
1;34;6;GBB1GAHZ;01;;2;1
1;37;1;GBB1GD9Z;01;1990;2;1
3;86;5;GBB1GG1Z;01;;1;
3;75;7;GBB1GG1Z;02;;2;
3;74;7;GBB1GG2Z;01;;1;
1;35;1;GBB1GG3Z;01;1800;2;1
3;66;7;GBB1GLLZ;01;;1;
3;67;4;GBB1GLLZ;02;;2;
3;65;1;GBB1GODZ;01;;1;
3;63;5;GBB1GODZ;02;;2;
3;67;1;GBB1GR5Z;01;;2;
3;77;6;GBB1GR6Z;01;;1;
1;56;1;GBB1GR7Z;01;;1;1
3;48;1;GBB1GR7Z;02;;2;
3;19;6;GBB1GR7Z;03;;2;
1;54;3;GBB1GTXZ;01;3824;1;1
3;53;3;GBB1GTXZ;02;;2;
3;22;4;GBB1GTXZ;03;;2;
1;30;1;GBB1GTYZ;01;;2;3
1;31;1;GBB1GTYZ;02;;1;1
3;80;4;GBB1GWQZ;01;;2;
3;82;6;GBB1GWRZ;01;;1;
3;85;7;GBB1GWRZ;02;;2;
1;47;1;GBB1GWSZ;01;2227;2;1
3;16;6;GBB1GWSZ;02;;1;
3;86;7;GBB1GZHZ;01;;2;
1;55;1;GBB1GZIZ;01;7000;1;1
3;56;3;GBB1GZIZ;02;;2;
1;27;4;GBB1GZJZ;01;1800;2;1
1;29;1;GBB1GZJZ;02;4200;1;1
1;55;4;GBC1G29Z;01;2383;1;1
1;55;1;GBC1G29Z;02;2000;2;1
3;56;5;GBC1LP1Z;01;;2;
1;30;3;GBC1LP2Z;01;;1;1
1;29;3;GBC1LP3Z;01;;2;1
3;70;7;GBC1LP5Z;01;;2;
1;37;5;GBC1LP6Z;01;;2;1
1;46;7;GBC1LP6Z;02;;1;1
3;74;5;GBC1LP7Z;01;;2;
3;64;7;GBC1LP8Z;01;;2;
1;31;4;GBC1LP9Z;01;;2;1
3;22;1;GBC1LPAZ;01;;2;
1;26;4;GBC1LPAZ;02;;1;1
1;31;4;GBC1LPBZ;01;;2;1
1;33;4;GBC1LPBZ;02;;1;1
3;75;5;GBC1LPCZ;01;;1;
3;78;7;GBC1LPCZ;02;;2;
3;71;4;GBC1LPDZ;01;;2;
1;24;5;GBC1LPEZ;01;;1;1
1;56;5;GBC1LPFZ;01;;1;1
1;55;5;GBC1LPFZ;02;;2;1
2;55;5;GBC1LRTZ;01;;1;
1;62;1;GBC1LRWZ;01;;2;1
3;18;4;GBC1LRXZ;01;;1;
1;51;4;GBC1LRZZ;01;;2;1
3;66;5;GBC1LS0Z;01;;2;
3;69;4;GBE1QBXZ;01;;1;
3;62;6;GBE1QBXZ;02;;2;
3;71;4;GBE1QEPZ;01;;1;
3;76;7;GBE1QEPZ;02;;2;
1;52;7;GBE1QHHZ;01;;1;1
1;46;7;GBE1QHHZ;02;3925;2;1
1;20;6;GBE1QHHZ;03;602;1;2
3;79;5;GBE1QK9Z;01;;1;
3;77;7;GBE1QK9Z;02;;2;
3;90;4;GBE1QN1Z;01;;2;
3;75;7;GBE1QPTZ;01;;1;
3;74;7;GBE1QPTZ;02;;2;
1;52;5;GBE1QSLZ;01;91;2;2
1;32;6;GBE1QVDZ;01;1400;2;1
1;33;5;GBE1QVDZ;02;3289;1;1
3;62;7;GBF1Q0XZ;01;;2;
1;25;4;GBF1Q99Z;01;1617;2;2
1;25;4;GBF1Q99Z;02;2748;1;1
2;38;4;GBF1QC1Z;01;;2;
3;83;7;GBF1QHLZ;01;;2;
2;34;3;GBF1QKDZ;01;;1;
3;28;4;GBF1QKDZ;02;;2;
1;27;5;GBF1QN5Z;01;1210;1;1
1;26;5;GBF1QN5Z;02;1301;2;1
2;39;4;GBF1QPXZ;01;;1;
2;22;7;GBF1QPXZ;02;;2;
1;40;5;GBF1QSPZ;01;1985;1;1
1;47;5;GBF1VNPZ;01;1300;1;1
1;45;4;GBF1VNPZ;02;1200;2;1
3;20;4;GBF1VNPZ;03;;2;
3;61;5;GBF1VQHZ;01;;1;
3;62;7;GBF1VQHZ;02;;2;
1;26;4;GBF1VQHZ;03;1500;1;1
1;36;1;GBF1VW1Z;01;3000;2;1
1;40;3;GBF1VW1Z;02;2000;1;1
1;39;1;GBF1VYTZ;01;2700;1;1
1;40;3;GBF1VYTZ;02;1500;2;2
1;47;5;GBG1V4DZ;01;2400;1;1
1;41;3;GBG1V4DZ;02;2000;2;1
3;16;6;GBG1V4DZ;03;;1;
1;53;5;GBG1V75Z;01;2200;1;1
1;39;3;GBG1V75Z;02;800;2;2
1;46;5;GBG1VCPZ;01;800;2;1
1;50;5;GBG1VCPZ;02;1800;1;1
1;33;4;GBG1VFHZ;01;1500;2;1
1;42;3;GBG1VFHZ;02;1800;1;1
3;38;3;GBG1VL1Z;01;;2;
3;42;3;GBG1VL1Z;02;;1;
1;29;5;GBG1VNTZ;01;1500;2;1
1;29;3;GBG1VNTZ;02;2000;1;1
1;25;4;GBG1VQLZ;01;1080;2;1
1;26;4;GBG1VQLZ;02;1200;1;1
1;55;5;GBG1VTDZ;01;1820;1;1
1;54;4;GBG1VTDZ;02;1700;2;1
1;57;3;GBG1VW5Z;01;2000;2;1
3;60;6;GBG1VW5Z;02;;1;
1;40;4;GBG1VYXZ;01;1200;2;1
1;44;5;GBG1VYXZ;02;1550;1;1
1;42;3;GBH1V4HZ;01;;2;3
3;47;1;GBH1V4HZ;02;;1;
3;16;6;GBH1V4HZ;03;;2;
1;46;5;GBH1V79Z;01;1500;1;1
1;33;4;GBH1V79Z;02;1450;1;1
3;58;5;GBH1VA1Z;01;;1;
3;60;3;GBH1VA1Z;02;;2;
1;37;5;GBH1VCTZ;01;1300;2;1
1;43;4;GBH1VCTZ;02;1500;1;1
3;80;3;GBH20AL0;01;;2;
3;72;7;GBH20DD0;01;;1;
3;72;7;GBH20DD0;02;;2;
2;51;6;GBH20G50;01;;1;
2;48;4;GBH20G50;02;;2;
3;56;1;GBH20IX0;01;;2;
3;73;7;GBH20LP0;01;;2;
1;49;5;GBH20LP0;02;1742;1;1
3;69;5;GBH20WT0;01;;2;
3;70;4;GBH20WT0;02;;1;
3;68;7;GBH20ZL0;01;;1;
3;70;7;GBH20ZL0;02;;2;
3;47;1;GBI202D0;01;;2;
1;18;5;GBI202D0;02;892;2;1
3;68;7;GBI20550;01;;1;
2;22;6;GBI207X0;01;;1;
3;21;4;GBI207X0;02;;2;
3;59;6;GBI20AP0;01;;1;
3;53;7;GBI20AP0;02;;2;
3;66;4;GBI20DH0;01;;1;
3;66;4;GBI20DH0;02;;2;
1;58;5;GBI20G90;01;730;1;2
1;57;7;GBI20G90;02;450;2;2
1;33;4;GBI20J10;01;1350;1;1
